trend_factor,digital_inclusion_index,account_ratio,mobile_growth_pct,financial_growth_pct,mobile_money_share,financial_institution_share,year_x,actual,prediction,year_y,country
0.375,0.17571748900000003,0.009071230349356942,10.325701390764982,0.5982120580945818,0.3159289,34.8275689,2017,0.0,0.5417506609468016,2017,Ethiopia
0.0,0.30628735360000003,0.007614730617726708,0.0,0.0,0.46293402,60.7945367,2014,0.04261732,0.17629727383177318,2014,Romania
0.0,0.21278502315,0.04340325702715479,0.0,0.0,1.7702768299999998,40.7867278,2014,0.56248903,0.3945692012754515,2014,Guatemala
0.875,0.46830771749999994,0.11832419457268994,3.2599471148226833,0.16223831636665742,9.909851499999998,83.75169199999999,2021,0.5747855,0.40565790363261944,2021,Upper-middle-income countries
0.0,0.5679908850000001,1.0577313213325097,0.0,0.0,58.392633000000004,55.205544,2014,19.452291,18.60969927699401,2014,Kenya
0.0,0.237989361,0.014293171865643807,0.0,0.0,0.6707376,46.9271346,2014,0.0,0.29405967824231544,2014,Lebanon
0.875,0.26199962,0.2789675338990348,2.678754767288289,0.07019602192058216,11.429435999999999,40.970488,2021,4.124358,2.517990632282089,2021,Kyrgyzstan
0.375,0.22505804535,0.14226879590545916,1.442814483877278,-0.10793323253964004,5.60616507,39.405444,2017,0.26141107,1.651488904444065,2017,Nigeria
0.875,0.344948423,0.32045404533827154,0.7162703454520809,0.15262083046990504,16.7427436,52.24694100000001,2021,3.1007946,2.0339471039062014,2021,Armenia
0.875,0.5717229083,0.36069954123391057,1.7629763638123785,0.14767719976493532,30.31090766,84.033674,2021,0.36112666,1.2031803680932027,2021,Venezuela
0.375,0.16180124950000002,0.13812962895305136,2.7269996422478946,0.5079886473527506,3.9274167,28.4328332,2017,2.4291575,1.4264071636346185,2017,Nicaragua
0.0,0.415977072,0.20981184731088645,0.0,0.0,14.4281804,68.767234,2014,1.5502214,1.1261621056693933,2014,South Africa
0.0,0.29918207585,0.0523955017175793,0.0,0.0,2.9790691700000003,56.857346,2014,0.16897917,0.5461721174898583,2014,Venezuela
0.375,0.317157332,0.035946524817579845,0.0,0.0,2.2010217,61.2304447,2017,0.0,0.48856242825893653,2017,Georgia
0.0,0.24115508874999997,0.05803856674745205,0.0,0.0,2.64570615,45.5853116,2014,0.90690255,0.5193596367211163,2014,South Asia (WB)
